pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Metabolism of vitamins and cofactors,Reactome,38,NOS3;TPK1;NUDT12;HSPG2;FOLR2;NADSYN1;SDC2;GPC3;MTHFD1;BST1;VNN1;CYP8B1;ENPP1;QPRT;DHFR;AKR1B10;HLCS;SHMT1;SDC3;THTPA;APOA4;APOB;MCCC2;ALDH1L1;IDH1;SLC25A16;RETSAT;NNMT;PCCA;PCCB;TTPA;SLC23A1;PTGIS;SDC1;PTGS2;PNPO;PANK1;BCO1,180 (180),0.00268,0.0318,0,,136 (188),1,1,0.0186,0.157
Supression of HMGB1 mediated inflammation by THBD,Wikipathways,4,THBD;NFKBIA;CHUK;IKBKG,9 (9),0.0232,0.159,0,,0 (0),1,1,0.0232,0.159
Role of Altered Glycolysation of MUC1 in Tumour Microenvironment,Wikipathways,4,NFKBIA;CHUK;IKBKG;MUC1,9 (9),0.0232,0.159,0,,0 (0),1,1,0.0232,0.159
Prostaglandin formation from arachidonate,EHMN,11,MGST1;PLPP1;GSTK1;SLCO3A1;CBR3;PTGIS;PTGS2;ABCC4;SLC22A1;ALOX12;GSTZ1,33 (33),0.00278,0.0329,0,,43 (48),1,1,0.0192,0.161
Adherens junction - Homo sapiens (human),KEGG,16,PTPRF;PARD3;PTPRM;ACTG1;TGFBR2;ERBB2;IGF1R;WASF2;FGFR1;SNAI1;SMAD3;WASF3;PTPRB;IQGAP1;WAS;FARP2,71 (71),0.0238,0.162,0,,0 (0),1,1,0.0238,0.162
Steroid biosynthesis - Homo sapiens (human),KEGG,8,CYP2R1;TM7SF2;DHCR24;LIPA;HSD17B7;LBR;NSDHL;SC5D,20 (20),0.00289,0.034,0,,40 (58),1,1,0.0198,0.166
Adipogenesis,Wikipathways,26,LIF;LIFR;BMP2;NRIP1;HNF1A;SFRP4;CYP26B1;KLF5;CYP26A1;GATA2;GATA4;AHR;WWTR1;PNPLA3;PPARA;PPARD;GDF10;PTGIS;MEF2C;PCK1;PRLR;SLC2A4;CNTFR;SMAD3;PLIN2;FOXC2,131 (131),0.0247,0.168,0,,0 (0),1,1,0.0247,0.168
NHR,Signalink,12,HNF4A;RARG;THRB;NR2F2;NR1I3;NR1H4;ESRRB;SMAD3;PPARA;PPARD;NR4A1;VDR,49 (49),0.0256,0.171,0,,0 (0),1,1,0.0256,0.171
MAP2K and MAPK activation,Reactome,12,FGA;FGB;IQGAP1;KSR1;IL17RD;CNKSR1;APBB1IP;ARRB1;ARRB2;VWF;FGG;FN1,38 (38),0.00303,0.0353,0,,6 (15),1,1,0.0206,0.172
Regulation of RAC1 activity,PID,12,CHN2;ARHGEF25;ARHGEF6;ARHGAP1;ARHGEF7;EPS8;PREX1;ARHGAP9;VAV1;PREX2;DEF6;ARHGEF2,38 (38),0.00303,0.0353,0,,3 (3),1,1,0.0206,0.172
Alpha 6 Beta 4 signaling pathway,Wikipathways,9,ITGB4;LAMA2;ITGA6;LAMB1;LAMB2;LAMB3;LAMC1;LAMC2;LAMA5,33 (33),0.026,0.173,0,,0 (0),1,1,0.026,0.173
Lysine degradation - Homo sapiens (human),KEGG,17,ALDH3A2;PIPOX;DHTKD1;ACAT1;HYKK;EHHADH;ALDH7A1;AASS;GCDH;PRDM16;AADAT;HADHA;HADH;PHYKPL;BBOX1;DLST;ALDH9A1,63 (63),0.0031,0.036,0,,40 (50),1,1,0.021,0.175
ctcf: first multivalent nuclear factor,BioCarta,7,TGFB2;TGFB3;TGFBR2;CD79A;CD79B;SMAD1;SMAD6,23 (23),0.0268,0.176,0,,0 (0),1,1,0.0268,0.176
TGF-beta Receptor Signaling,Wikipathways,13,RUNX3;SPP1;LIF;TGFBR3;BAMBI;ITGB6;THBS1;TGFBR2;LTBP1;SMAD1;SMAD3;SMAD6;SMAD9,55 (55),0.0273,0.18,0,,0 (0),1,1,0.0273,0.18
Pyruvate metabolism and Citric Acid (TCA) cycle,Reactome,15,SUCLG2;SUCLG1;LDHA;SLC16A1;ME1;L2HGDH;LDHB;NNT;PDK4;DLST;ADHFE1;ME2;PDP1;ME3;GSTZ1,53 (53),0.00324,0.0373,0,,38 (44),1,1,0.0218,0.18
Cardiac Progenitor Differentiation,Wikipathways,15,TBX20;GATA4;PDGFRA;FGF2;KIT;CXCR4;ANPEP;KDR;MEF2C;SIRPA;ROR2;MYL2;SCN5A;THY1;MYLK3,53 (53),0.00324,0.0373,0,,1 (1),1,1,0.0218,0.18
nfkb activation by nontypeable hemophilus influenzae,BioCarta,10,MAPK11;IL1B;TGFB2;TGFB3;IKBKG;TGFBR2;NFKBIA;DUSP1;SMAD3;CHUK,29 (29),0.00324,0.0373,0,,1 (1),1,1,0.0218,0.18
Regulatory circuits of the STAT3 signaling pathway,Wikipathways,17,MAPK11;GHR;IFNGR1;PDGFRA;PDGFRB;IL2RB;LIFR;CNTFR;PTPRD;MAPK13;MAPK7;IL21R;IL27RA;MAPK12;IL9R;DEPTOR;IL3RA,78 (78),0.0275,0.18,0,,0 (0),1,1,0.0275,0.18
Sphingolipid metabolism,Reactome,13,ALDH3A2;PRKD3;PLPP2;ACER2;PRKD2;PLPP1;CERK;CERS4;ARSG;SMPD3;CERS2;CERS5;SGMS1,87 (87),0.382,0.88,3,HMDB0010711;HMDB0013461;HMDB0006752,54 (65),0.00856,1,0.022,0.181
RHOC GTPase cycle,Reactome,19,ABCD3;FMNL3;STARD13;ARHGEF17;ARHGEF25;ARHGEF28;ARHGAP1;STK10;PREX1;MCAM;ARHGAP35;CAVIN1;CAV1;LBR;DLC1;ACBD5;IQGAP1;LMAN1;MCF2L,74 (74),0.00338,0.0385,0,,4 (4),1,1,0.0226,0.185
Beta-mercaptolactate-cysteine disulfiduria,SMPDB,5,GCLM;CTH;CDO1;GOT1;MPST,9 (9),0.00339,0.0385,0,,26 (26),1,1,0.0227,0.185
Cysteine Metabolism,SMPDB,5,GCLM;CTH;CDO1;GOT1;MPST,9 (9),0.00339,0.0385,0,,26 (26),1,1,0.0227,0.185
Cystinosis_ ocular nonnephropathic,SMPDB,5,GCLM;CTH;CDO1;GOT1;MPST,9 (9),0.00339,0.0385,0,,26 (26),1,1,0.0227,0.185
Threonine and 2-Oxobutanoate Degradation,SMPDB,5,PCCB;SDS;BCKDHB;DBT;PCCA,9 (9),0.00339,0.0385,0,,17 (19),1,1,0.0227,0.185
Neutrophil degranulation,Reactome,80,A1BG;CRISPLD2;CD93;QSOX1;STK10;MGAM;ORM2;AMPD3;CPPED1;CKAP4;ADGRG3;PTPRB;SLC11A1;HSPA1B;MGST1;ANPEP;IQGAP2;TIMP2;PGRMC1;DSP;BST1;VNN1;PLEKHO2;ANXA2;ITGAL;CD300A;PYCARD;SIRPA;PECAM1;SYNGR1;DOK3;SLPI;C3;SLC44A2;KCNAB2;PKM;CD55;AHSG;CD63;PYGB;PSMD1;PYGL;ARHGAP9;UNC13D;C3AR1;ADGRE5;CREG1;CDA;BIN2;LGALS3;MME;C5AR1;NFAM1;IDH1;CAT;FGR;IQGAP1;MMP9;ADAM8;XRCC5;ALDOA;PIGR;ITGAM;ARHGAP45;ADAM10;HPSE;PADI2;HVCN1;HSPA1A;RHOF;COTL1;ALOX5;CNN2;PRDX6;GSN;ITGB2;SLC27A2;CEACAM1;FGL2;ARG1,486 (487),0.0283,0.185,0,,0 (0),1,1,0.0283,0.185
Platelet homeostasis,Reactome,21,PDE9A;PAFAH2;ATP2A1;GUCY1A1;GNG11;ATP2A3;PTGIR;GUCY1B1;ATP2B4;NOS3;PECAM1;APOB;P2RX7;P2RX6;KCNMB1;GNGT2;GNB5;GNG2;FGR;ITPR3;PDE10A,85 (85),0.0035,0.0396,0,,24 (28),1,1,0.0233,0.189
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition,Wikipathways,5,SMAD3;FN1;TNC;SNAI1;VIM,14 (14),0.0303,0.196,0,,0 (0),1,1,0.0303,0.196
superpathway of cholesterol biosynthesis,HumanCyc,9,HSD17B7;TM7SF2;SC5D;ACAT1;DHCR24;NSDHL;HMGCS2;LBR;IDI1,25 (25),0.00371,0.0417,0,,40 (62),1,1,0.0245,0.198
SHP2 signaling,PID,16,NGF;TEK;IFNGR1;PDGFRB;IL2RB;ANGPT1;NOS3;SDC2;GNAI1;PDGFB;GAB2;IGF1R;NTRK2;KDR;LCK;ARHGAP35,59 (59),0.00384,0.042,0,,6 (6),1,1,0.0252,0.198
Smooth Muscle Contraction,Reactome,12,TPM1;CALD1;DYSF;TPM2;TRIM72;GUCY1A1;MYLPF;ACTG2;LMOD1;GUCY1B1;ANXA2;ACTA2,39 (39),0.00385,0.042,0,,9 (9),1,1,0.0253,0.198
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Reactome,4,HADHB;HADH;ACADM;HADHA,6 (6),0.00385,0.042,0,,15 (15),1,1,0.0253,0.198
Phenylalanine_ tyrosine and tryptophan biosynthesis - Homo sapiens (human),KEGG,4,TAT;GOT1;GOT2;PAH,6 (6),0.00385,0.042,0,,18 (34),1,1,0.0253,0.198
threonine degradation,HumanCyc,4,SDS;BCKDHB;SDSL;DBT,6 (6),0.00385,0.042,0,,8 (8),1,1,0.0253,0.198
lysine degradation II (pipecolate pathway),HumanCyc,4,AADAT;PIPOX;ALDH7A1;DHTKD1,6 (6),0.00385,0.042,0,,21 (21),1,1,0.0253,0.198
Alpha-oxidation of phytanate,Reactome,4,ALDH3A2;SLC27A2;PHYH;PECR,6 (6),0.00385,0.042,0,,23 (27),1,1,0.0253,0.198
mitochondrial L-carnitine shuttle,HumanCyc,4,CPT2;CPT1C;CPT1A;CRAT,6 (6),0.00385,0.042,0,,10 (12),1,1,0.0253,0.198
zymosterol biosynthesis,HumanCyc,4,LBR;TM7SF2;HSD17B7;NSDHL,6 (6),0.00385,0.042,0,,16 (22),1,1,0.0253,0.198
ethanol degradation IV,HumanCyc,4,ALDH3A2;ACSS3;ACSS1;CAT,6 (6),0.00385,0.042,0,,13 (13),1,1,0.0253,0.198
Refsum Disease,SMPDB,4,PHYH;SLC27A2;ALDH3A2;ABCD2,6 (6),0.00385,0.042,0,,22 (24),1,1,0.0253,0.198
Phytanic Acid Peroxisomal Oxidation,SMPDB,4,PHYH;SLC27A2;ALDH3A2;ABCD2,6 (6),0.00385,0.042,0,,22 (24),1,1,0.0253,0.198
Plasma lipoprotein remodeling,Reactome,7,ANGPTL3;LCAT;APOA4;APOB;ALB;PCSK6;CREB3L3,26 (26),0.0503,0.26,1,HMDB0010404,10 (16),0.0777,1,0.0256,0.2
Pyrimidine catabolism,Reactome,5,AGXT2;UPP2;UPB1;DPYD;DPYS,12 (12),0.0151,0.119,1,HMDB0000273,37 (39),0.26,1,0.0256,0.2
Signaling by PDGF,Reactome,15,COL4A1;PDGFB;PDGFRA;COL4A4;PDGFRB;SPP1;BCAR1;COL6A1;COL6A2;COL6A3;COL6A5;THBS1;PDGFD;COL4A2;PLG,54 (54),0.00394,0.0428,0,,7 (17),1,1,0.0258,0.201
Splicing factor NOVA regulated synaptic proteins,Wikipathways,6,GABBR2;EPB41L3;CLSTN1;EPB41L1;PLCB4;CAV2,42 (42),0.501,0.995,1,HMDB0009888,1 (1),0.00805,1,0.0263,0.201
Imatinib and Chronic Myeloid Leukemia,Wikipathways,8,LYL1;PDGFRA;KIT;PDGFRB;ABCG2;GAB2;ABL1;SPRED2,21 (21),0.00413,0.0447,0,,2 (2),1,1,0.0268,0.201
Ornithine Aminotransferase Deficiency (OAT Deficiency),SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Hyperornithinemia with gyrate atrophy (HOGA),SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Creatine deficiency_ guanidinoacetate methyltransferase deficiency,SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
L-arginine:glycine amidinotransferase deficiency,SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Prolinemia Type II,SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Prolidase Deficiency (PD),SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Arginine and Proline Metabolism,SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Hyperprolinemia Type I,SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Hyperprolinemia Type II,SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),SMPDB,7,OAT;OTC;GOT1;SLC25A15;GLUD1;CPS1;ARG1,20 (20),0.0121,0.1,1,HMDB0000128,52 (52),0.346,1,0.0272,0.201
chondroitin sulfate biosynthesis (late stages),HumanCyc,6,CHST15;CHSY1;CHST12;CHST11;CHST2;CHST3,13 (13),0.00425,0.0449,0,,4 (5),1,1,0.0275,0.201
Phenylalanine degradation,INOH,6,MAOB;DDC;TAT;GOT1;GOT2;AOC3,13 (13),0.00425,0.0449,0,,14 (14),1,1,0.0275,0.201
cholesterol biosynthesis II (via 24_25-dihydrolanosterol),HumanCyc,6,TM7SF2;SC5D;DHCR24;HSD17B7;LBR;NSDHL,13 (13),0.00425,0.0449,0,,19 (32),1,1,0.0275,0.201
cholesterol biosynthesis III (via desmosterol),HumanCyc,6,TM7SF2;SC5D;DHCR24;HSD17B7;LBR;NSDHL,13 (13),0.00425,0.0449,0,,24 (32),1,1,0.0275,0.201
cholesterol biosynthesis I,HumanCyc,6,TM7SF2;SC5D;DHCR24;HSD17B7;LBR;NSDHL,13 (13),0.00425,0.0449,0,,24 (32),1,1,0.0275,0.201
Phenylalanine and tyrosine metabolism,Reactome,6,FAH;HGD;HPD;PAH;TAT;GSTZ1,13 (13),0.00425,0.0449,0,,30 (33),1,1,0.0275,0.201
Glycerol Kinase Deficiency,SMPDB,6,PLPP1;PLPP2;GPAM;GPD1;GK;GLYCTK,13 (13),0.00425,0.0449,0,,24 (24),1,1,0.0275,0.201
Glycerolipid Metabolism,SMPDB,6,PLPP1;PLPP2;GPAM;GPD1;GK;GLYCTK,13 (13),0.00425,0.0449,0,,24 (24),1,1,0.0275,0.201
eNOS activation,Reactome,6,LYPLA1;CYGB;DDAH2;NOS3;DDAH1;CAV1,13 (13),0.00425,0.0449,0,,26 (26),1,1,0.0275,0.201
Familial lipoprotein lipase deficiency,SMPDB,6,PLPP1;PLPP2;GPAM;GPD1;GK;GLYCTK,13 (13),0.00425,0.0449,0,,24 (24),1,1,0.0275,0.201
D-glyceric acidura,SMPDB,6,PLPP1;PLPP2;GPAM;GPD1;GK;GLYCTK,13 (13),0.00425,0.0449,0,,24 (24),1,1,0.0275,0.201
Biosynthesis of maresins,Reactome,3,ALOX5;CYP2E1;EPHX2,8 (8),0.0801,0.356,1,HMDB0002183,7 (23),0.055,1,0.0283,0.207
Hippo signaling pathway - multiple species - Homo sapiens (human),KEGG,8,AJUBA;DCHS1;RASSF6;RASSF2;PAK1;CSNK1E;WWTR1;FRMD6,29 (29),0.0328,0.211,0,,0 (0),1,1,0.0328,0.211
role of mal in rho-mediated activation of srf,BioCarta,6,SRF;MAP3K1;HNF1A;LIMK1;MAL;ACTA1,19 (19),0.0331,0.211,0,,0 (0),1,1,0.0331,0.211
Senescence and Autophagy in Cancer,Wikipathways,14,IL1B;IGFBP7;CREG1;COL3A1;BMP2;CXCL14;IGF1R;THBS1;BCL2;SMAD3;GSN;VTN;COL1A1;FN1,106 (106),0.567,1,1,HMDB0009888,1 (1),0.00805,1,0.0292,0.213
Validated targets of C-MYC transcriptional repression,PID,16,NDRG2;SPI1;IRF8;SFRP1;PDGFRB;ITGA6;ITGB4;ERBB2;LGALS1;HMGCS2;SMAD3;BCL2;ALDH9A1;SLC11A1;COL1A2;SFXN3,74 (74),0.034,0.215,0,,0 (0),1,1,0.034,0.215
T-cell receptor (TCR) signaling pathway,Wikipathways,19,LAT;IL1B;PAK1;IKBKG;VIM;CARD11;MAP4K1;VAV1;CCR5;CD3D;PRKCQ;GAB2;NFKBIA;GRAP2;CHUK;LCK;CD8A;WAS;NFATC2,92 (92),0.0346,0.215,0,,0 (0),1,1,0.0346,0.215
Corticotropin-releasing hormone signaling pathway,Wikipathways,19,NFKBIA;TLR4;GJA1;RAPGEF3;FOSB;NOS3;CAMK2A;BCL2;PLCG2;GNAI1;FOSL2;PRKCQ;CASP12;GNB5;ARRB1;ARRB2;PRKAA2;NR4A1;FOSL1,92 (92),0.0346,0.215,0,,0 (0),1,1,0.0346,0.215
VEGF and VEGFR signaling network,PID,4,VEGFC;NRP2;FLT4;KDR,10 (10),0.0346,0.215,0,,0 (0),1,1,0.0346,0.215
NADE modulates death signalling,Reactome,3,BEX3;NGF;NGFR,6 (6),0.0351,0.215,0,,0 (0),1,1,0.0351,0.215
RUNX1 regulates transcription of genes involved in BCR signaling,Reactome,3,BLK;RUNX1;PAX5,6 (6),0.0351,0.215,0,,0 (0),1,1,0.0351,0.215
Intracellular Signalling Through Adenosine Receptor A2b and Adenosine,SMPDB,9,MAPK11;PAK1;ADORA2B;ARHGEF7;RAPGEF3;ADCY2;MAP3K1;NFKBIA;CHUK,38 (38),0.0599,0.296,1,HMDB0009888,10 (10),0.0777,1,0.0296,0.216
Alpha Linolenic Acid and Linoleic Acid Metabolism,SMPDB,3,FADS1;ELOVL5;FADS2,6 (6),0.0351,0.215,1,HMDB0002183,18 (18),0.136,1,0.0303,0.22
Chondroitin sulfate/dermatan sulfate metabolism,Reactome,14,CHST15;CHST14;SDC3;HSPG2;HYAL1;SDC1;CHST12;CHSY1;CHST11;VCAN;SDC2;CHST3;DSEL;GPC3,50 (50),0.00487,0.0506,0,,12 (24),1,1,0.0308,0.222
Sensory processing of sound by outer hair cells of the cochlea,Reactome,14,EPB41L3;KCNMB1;KCNN2;XIRP2;RIPOR2;EPS8;KCNQ4;TWF2;EPS8L2;EPB41L1;GSN;TPRN;CLIC5;MSN,50 (50),0.00487,0.0506,0,,6 (7),1,1,0.0308,0.222
Malaria - Homo sapiens (human),KEGG,14,IL1B;TGFB2;TGFB3;ITGB2;HGF;CCL2;SDC1;SDC2;THBS1;ITGAL;PECAM1;TLR9;TLR4;COMP,50 (50),0.00487,0.0506,0,,3 (5),1,1,0.0308,0.222
Arginine and proline metabolism - Homo sapiens (human),KEGG,13,ALDH3A2;MAOB;CKM;L3HYPDH;CKMT2;NOS3;ALDH7A1;OAT;ALDH18A1;GOT1;GOT2;ARG1;ALDH9A1,50 (51),0.0126,0.104,1,HMDB0000128,60 (78),0.388,1,0.0309,0.222
Glycolysis and Gluconeogenesis,Wikipathways,13,PKLR;ALDOA;PKM;ALDOB;PGAM2;LDHB;ENO3;PCK1;SLC2A2;LDHA;GOT1;GOT2;SLC2A4,45 (45),0.00491,0.0507,0,,14 (18),1,1,0.031,0.223
Ectoderm Differentiation,Wikipathways,27,CCDC88C;FZD4;SOCS2;GRAMD1B;BOC;PODXL;ABCC4;RGMA;PTPRB;FZD8;ARHGAP10;BCAS3;ELOVL2;ROR2;GATA6;POU2F2;CCL2;HMGB2;KIFC3;PPARD;PRKAG2;BCOR;FHL2;EDA2R;NR2F2;NARS2;CDON,142 (142),0.0368,0.224,0,,0 (0),1,1,0.0368,0.224
Transport of vitamins_ nucleosides_ and related molecules,Reactome,10,SLC29A3;SLC35D1;SLC25A4;SLC28A2;SLCO3A1;SLC16A2;SLC35B4;SLC35A3;ALB;APOD,44 (44),0.0624,0.305,2,HMDB0000036;HMDB0000273,59 (63),0.0802,1,0.0315,0.225
Signaling by BMP,Reactome,9,GDF2;BMP10;BMP2;CHRDL1;SMAD1;SMAD6;SMAD9;ACVRL1;FSTL1,26 (26),0.00501,0.0514,0,,2 (2),1,1,0.0315,0.225
Glypican 1 network,PID,9,BLK;TGFB3;FGF2;TGFBR2;FGR;SERPINC1;FGFR1;LCK;APP,26 (26),0.00501,0.0514,0,,2 (2),1,1,0.0315,0.225
Cell migration and invasion through p75NTR,Wikipathways,8,PARD3;PAK1;NGFR;CDH11;NTRK2;MMP2;EFNB2;MMP9,30 (30),0.0396,0.228,0,,0 (0),1,1,0.0396,0.228
BMP2 signaling TAK1,INOH,5,MAPK11;BMP2;MAPK13;MAPK12;SMAD6,15 (15),0.0406,0.231,0,,0 (0),1,1,0.0406,0.231
Regulation of Actin Cytoskeleton,Wikipathways,32,VIL1;LIMK1;MYL1;MYL3;WAS;FN1;PDGFB;PDGFRA;PDGFRB;PIK3C2G;PAK6;ARHGEF7;PAK3;WASF2;FGF21;PIP4K2A;ENAH;PAK1;FGD1;FGF1;FGF2;TMSB4X;FGFR1;ACTG1;BCAR1;ARHGAP35;BDKRB2;VAV1;ARHGEF6;GSN;IQGAP1;MSN,151 (151),0.00523,0.0536,0,,4 (5),1,1,0.0327,0.233
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease,Wikipathways,7,TGFBR2;TGFBR3;FLNA;FBN1;LTBP1;LTBP2;SMAD3,25 (25),0.0414,0.233,0,,0 (0),1,1,0.0414,0.233
VEGFR3 signaling in lymphatic endothelium,PID,7,VEGFC;MAPK11;FLT4;COL1A2;COL1A1;ITGA5;FN1,25 (25),0.0414,0.233,0,,0 (0),1,1,0.0414,0.233
IL-17 signaling pathway - Homo sapiens (human),KEGG,19,MAPK11;IL1B;MMP13;MAPK13;IKBKG;CXCL5;CXCL2;CXCL3;CCL2;PTGS2;FOSB;CCL11;MAPK7;NFKBIA;IL17RB;CHUK;MAPK12;FOSL1;MMP9,94 (94),0.0421,0.233,0,,0 (0),1,1,0.0421,0.233
TGF-beta signaling TAK1,INOH,6,MAPK11;TGFB2;MAPK13;TGFBR2;TGFB3;MAPK12,20 (20),0.0421,0.233,0,,0 (0),1,1,0.0421,0.233
Nuclear Events (kinase and transcription factor activation),Reactome,16,MAPK11;LYL1;ARC;EGR1;EGR3;SRF;SGK1;MEF2C;ID4;FOSB;RPS6KA2;DUSP4;DUSP7;RRAD;FOSL1;MAPK7,61 (61),0.00548,0.056,0,,4 (4),1,1,0.034,0.241
rac1 cell motility signaling pathway,BioCarta,9,NCF2;PAK1;PDGFRA;ARHGAP1;ARHGAP4;LIMK1;VAV1;MAP3K1;MYL2,36 (36),0.0441,0.242,0,,0 (0),1,1,0.0441,0.242
Trans-sulfuration and one-carbon metabolism,Wikipathways,10,SHMT1;GCLM;CBS;CTH;MAT1A;AMT;DHFR;BHMT;MTHFD1;AHCY,31 (31),0.00558,0.0567,0,,31 (33),1,1,0.0346,0.244
Statin inhibition of cholesterol production,Wikipathways,10,LCAT;APOA5;CYP7A1;ABCG5;APOA4;APOB;MTTP;ACSS1;SCARB1;ABCG8,31 (31),0.00558,0.0567,0,,8 (17),1,1,0.0346,0.244
Regulation of p38-alpha and p38-beta,PID,10,BLK;MAPK11;PAK1;PAK3;FGR;DUSP1;DUSP10;MAP3K3;DUSP8;LCK,31 (31),0.00558,0.0567,0,,2 (2),1,1,0.0346,0.244
Heroin metabolism,Wikipathways,1,BCHE,3 (3),0.351,0.834,1,HMDB0041812,2 (3),0.016,1,0.0347,0.244
Metabolism of water-soluble vitamins and cofactors,Reactome,25,TPK1;NUDT12;FOLR2;NADSYN1;MTHFD1;BST1;VNN1;CYP8B1;ENPP1;QPRT;DHFR;HLCS;SHMT1;THTPA;MCCC2;ALDH1L1;SLC25A16;NNMT;PCCA;PCCB;PANK1;SLC23A1;PTGIS;PTGS2;PNPO,111 (111),0.00571,0.0576,0,,91 (125),1,1,0.0352,0.247
Complement Activation,Wikipathways,8,MASP2;CD55;C3;C6;C7;C8A;C8B;C9,22 (22),0.00574,0.0576,0,,1 (1),1,1,0.0353,0.247
Histidine metabolism - Homo sapiens (human),KEGG,8,ALDH3A2;MAOB;HNMT;ALDH7A1;UROC1;HAL;ASPA;ALDH9A1,22 (22),0.00574,0.0576,0,,36 (47),1,1,0.0353,0.247
Arachidonic acid metabolism,Reactome,15,PTGES;PON1;EPHX2;PON3;CYP1A1;DPEP1;CYP4B1;PTGR2;PTGIS;CYP8B1;PTGS2;ALOX5;GGT1;CYP1B1;ALOX12,60 (60),0.0112,0.095,1,HMDB0010404,89 (114),0.519,1,0.0356,0.248
Tyrosine metabolism - Homo sapiens (human),KEGG,11,MAOB;FAH;HGD;GSTZ1;DDC;TAT;GOT1;GOT2;ADH4;HPD;AOC3,36 (36),0.0059,0.0592,0,,58 (78),1,1,0.0362,0.252
Cytokine-cytokine receptor interaction - Homo sapiens (human),KEGG,50,GHR;IFNGR1;IL11;TGFBR2;LIFR;BMP2;BMP5;BMP6;CXCR3;CXCL13;TGFB2;ACVR1B;IL2RB;BMP10;CXCR6;TNFSF9;INHBC;CXCR4;ACKR3;LIF;IL21R;CXCL2;TGFB3;TNFRSF13C;NGF;NGFR;IL1B;CCL2;CCR5;CCL11;CCR2;TNFRSF11A;TNFRSF10B;ACVRL1;CCL24;GDF2;CXCL5;GDF10;INHBE;CX3CL1;CXCL3;IL3RA;CXCL14;LTB;EDA2R;PRLR;IL17RB;CNTFR;IL27RA;IL9R,295 (295),0.046,0.252,0,,0 (0),1,1,0.046,0.252
Neural Crest Cell Migration in Cancer,Wikipathways,10,EPHB2;PAK1;NGFR;PAK3;EPHB4;CDH11;NTRK2;MMP2;PAK6;MMP9,42 (42),0.0472,0.254,0,,0 (0),1,1,0.0472,0.254
Tight junction interactions,Reactome,8,PARD3;PARD6B;CLDN12;CLDN5;CLDN2;CLDN4;CLDN7;CLDN1,31 (31),0.0474,0.254,0,,0 (0),1,1,0.0474,0.254
RUNX3 regulates RUNX1-mediated transcription,Reactome,2,RUNX3;RUNX1,3 (3),0.0491,0.254,0,,0 (0),1,1,0.0491,0.254
Felodipine Metabolism Pathway,SMPDB,2,CACNB1;CACNA1C,3 (3),0.0491,0.254,0,,0 (1),1,1,0.0491,0.254
resolvin D biosynthesis,HumanCyc,1,ALOX5,2 (2),0.25,0.699,1,HMDB0002183,3 (5),0.024,1,0.0367,0.254
Ketone body metabolism,Reactome,5,HMGCS2;ACSS3;OXCT1;ACAT1;BDH1,10 (10),0.00604,0.0603,0,,15 (16),1,1,0.0369,0.256
